Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.39702694413703954
100% Corpus,9,0.61,0.01,0.42636367295225175
100% Corpus,9,0.61,0.31,0.40208668771188383
100% Corpus,9,0.61,0.61,0.39393198402683344
100% Corpus,9,0.61,0.9099999999999999,0.38410965075523723
100% Corpus,9,0.61,symmetric,0.406524686666665
100% Corpus,9,0.9099999999999999,0.01,0.4133582372960805
100% Corpus,9,0.9099999999999999,0.31,0.404506691481269
100% Corpus,9,0.9099999999999999,0.61,0.4332504365700574
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4361733221927308
100% Corpus,9,0.9099999999999999,symmetric,0.40499897731627865
100% Corpus,9,symmetric,0.01,0.4054787474219636
100% Corpus,9,symmetric,0.31,0.39597087315821805
100% Corpus,9,symmetric,0.61,0.39017278316443105
100% Corpus,9,symmetric,0.9099999999999999,0.4300196601070408
100% Corpus,9,symmetric,symmetric,0.40634389661451853
100% Corpus,9,asymmetric,0.01,0.3897876903239794
100% Corpus,9,asymmetric,0.31,0.39254881871954594
100% Corpus,9,asymmetric,0.61,0.4169575795193193
100% Corpus,9,asymmetric,0.9099999999999999,0.41936370390405814
100% Corpus,9,asymmetric,symmetric,0.38079924296236
100% Corpus,10,0.01,0.01,0.38856636256303906
100% Corpus,10,0.01,0.31,0.3815786980702191
100% Corpus,10,0.01,0.61,0.3877284055480115
100% Corpus,10,0.01,0.9099999999999999,0.3701656240249668
100% Corpus,10,0.01,symmetric,0.3864581137017901
100% Corpus,10,0.31,0.01,0.4170694372511258
100% Corpus,10,0.31,0.31,0.4114242981925752
100% Corpus,10,0.31,0.61,0.38498338113297004
100% Corpus,10,0.31,0.9099999999999999,0.3675496679267436
100% Corpus,10,0.31,symmetric,0.41522742576894667
100% Corpus,10,0.61,0.01,0.4267518122257069
100% Corpus,10,0.61,0.31,0.4003355644378259
100% Corpus,10,0.61,0.61,0.42024283394360074
100% Corpus,10,0.61,0.9099999999999999,0.3917185889603932
100% Corpus,10,0.61,symmetric,0.40653947149701
100% Corpus,10,0.9099999999999999,0.01,0.45679764702358083
100% Corpus,10,0.9099999999999999,0.31,0.4206894720901505
100% Corpus,10,0.9099999999999999,0.61,0.46109139885076855
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.4149976963110521
100% Corpus,10,0.9099999999999999,symmetric,0.416582571789216
100% Corpus,10,symmetric,0.01,0.40999720416528795
100% Corpus,10,symmetric,0.31,0.40580229456560246
100% Corpus,10,symmetric,0.61,0.39343835596569005
100% Corpus,10,symmetric,0.9099999999999999,0.36284920021263695
100% Corpus,10,symmetric,symmetric,0.4021245925711111
100% Corpus,10,asymmetric,0.01,0.3856414742683626
100% Corpus,10,asymmetric,0.31,0.35299488502346216
100% Corpus,10,asymmetric,0.61,0.33658745880047924
100% Corpus,10,asymmetric,0.9099999999999999,0.33712945144581546
100% Corpus,10,asymmetric,symmetric,0.348366836821073
