Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,asymmetric,0.31,0.38010655378569463
75% Corpus,4,asymmetric,0.61,0.39726267644416857
75% Corpus,4,asymmetric,0.9099999999999999,0.3867105322255424
75% Corpus,4,asymmetric,symmetric,0.3821048719903958
75% Corpus,5,0.01,0.01,0.45876413418141526
75% Corpus,5,0.01,0.31,0.4687498677377735
75% Corpus,5,0.01,0.61,0.4729234900228752
75% Corpus,5,0.01,0.9099999999999999,0.47217130912465227
75% Corpus,5,0.01,symmetric,0.47558315375808846
75% Corpus,5,0.31,0.01,0.4525430002267016
75% Corpus,5,0.31,0.31,0.4572184252485713
75% Corpus,5,0.31,0.61,0.4372727129857913
75% Corpus,5,0.31,0.9099999999999999,0.4339283734071673
75% Corpus,5,0.31,symmetric,0.4558791537597914
75% Corpus,5,0.61,0.01,0.45475276152573585
75% Corpus,5,0.61,0.31,0.4463481271841544
75% Corpus,5,0.61,0.61,0.44126455798325254
75% Corpus,5,0.61,0.9099999999999999,0.4263853578034089
75% Corpus,5,0.61,symmetric,0.44218859967637947
75% Corpus,5,0.9099999999999999,0.01,0.44355766675286484
75% Corpus,5,0.9099999999999999,0.31,0.42733592648669055
75% Corpus,5,0.9099999999999999,0.61,0.42993928472575166
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.38061972475195677
75% Corpus,5,0.9099999999999999,symmetric,0.42825340397322387
75% Corpus,5,symmetric,0.01,0.4593495372455328
75% Corpus,5,symmetric,0.31,0.45716120286634754
75% Corpus,5,symmetric,0.61,0.4609263227024646
75% Corpus,5,symmetric,0.9099999999999999,0.4609263227024646
75% Corpus,5,symmetric,symmetric,0.4601102474751409
75% Corpus,5,asymmetric,0.01,0.4031131028435767
75% Corpus,5,asymmetric,0.31,0.3951308223228264
75% Corpus,5,asymmetric,0.61,0.37959349267225634
75% Corpus,5,asymmetric,0.9099999999999999,0.363672317956745
75% Corpus,5,asymmetric,symmetric,0.40607069670046875
75% Corpus,6,0.01,0.01,0.4355426255458091
75% Corpus,6,0.01,0.31,0.4352593657815762
75% Corpus,6,0.01,0.61,0.43356141467203785
75% Corpus,6,0.01,0.9099999999999999,0.4205856662644802
75% Corpus,6,0.01,symmetric,0.4299798073365417
75% Corpus,6,0.31,0.01,0.425357657285416
